,p,q,11,10,01,00
420,p = 0.10,", q = -0.10",1,1,1,0
421,p = 0.10,", q = -0.09",1,1,1,0
422,p = 0.10,", q = -0.08",1,1,1,0
423,p = 0.10,", q = -0.07",1,1,1,0
424,p = 0.10,", q = -0.06",1,1,1,0
19,p = -0.10,", q = 0.09",1,0,1,0
20,p = -0.10,", q = 0.10",1,0,1,0
39,p = -0.09,", q = 0.08",1,0,1,0
40,p = -0.09,", q = 0.09",1,0,1,0
41,p = -0.09,", q = 0.10",1,0,1,0
59,p = -0.08,", q = 0.07",1,0,1,0
60,p = -0.08,", q = 0.08",1,0,1,0
61,p = -0.08,", q = 0.09",1,0,1,0
62,p = -0.08,", q = 0.10",1,0,1,0
79,p = -0.07,", q = 0.06",1,0,1,0
80,p = -0.07,", q = 0.07",1,0,1,0
81,p = -0.07,", q = 0.08",1,0,1,0
82,p = -0.07,", q = 0.09",1,0,1,0
98,p = -0.06,", q = 0.04",1,0,1,0
99,p = -0.06,", q = 0.05",1,0,1,0
100,p = -0.06,", q = 0.06",1,0,1,0
101,p = -0.06,", q = 0.07",1,0,1,0
102,p = -0.06,", q = 0.08",1,0,1,0
118,p = -0.05,", q = 0.03",1,0,1,0
119,p = -0.05,", q = 0.04",1,0,1,0
120,p = -0.05,", q = 0.05",1,0,1,0
121,p = -0.05,", q = 0.06",1,0,1,0
122,p = -0.05,", q = 0.07",1,0,1,0
137,p = -0.04,", q = 0.01",1,0,1,0
138,p = -0.04,", q = 0.02",1,0,1,0
139,p = -0.04,", q = 0.03",1,0,1,0
140,p = -0.04,", q = 0.04",1,0,1,0
141,p = -0.04,", q = 0.05",1,0,1,0
142,p = -0.04,", q = 0.06",1,0,1,0
157,p = -0.03,", q = 0.00",1,0,1,0
158,p = -0.03,", q = 0.01",1,0,1,0
159,p = -0.03,", q = 0.02",1,0,1,0
160,p = -0.03,", q = 0.03",1,0,1,0
161,p = -0.03,", q = 0.04",1,0,1,0
176,p = -0.02,", q = -0.02",1,0,1,0
177,p = -0.02,", q = -0.01",1,0,1,0
178,p = -0.02,", q = 0.00",1,0,1,0
179,p = -0.02,", q = 0.01",1,0,1,0
180,p = -0.02,", q = 0.02",1,0,1,0
181,p = -0.02,", q = 0.03",1,0,1,0
196,p = -0.01,", q = -0.03",1,0,1,0
197,p = -0.01,", q = -0.02",1,0,1,0
198,p = -0.01,", q = -0.01",1,0,1,0
199,p = -0.01,", q = 0.00",1,0,1,0
200,p = -0.01,", q = 0.01",1,0,1,0
215,p = 0.00,", q = -0.05",1,0,1,0
216,p = 0.00,", q = -0.04",1,0,1,0
217,p = 0.00,", q = -0.03",1,0,1,0
218,p = 0.00,", q = -0.02",1,0,1,0
219,p = 0.00,", q = -0.01",1,0,1,0
234,p = 0.01,", q = -0.07",1,0,1,0
235,p = 0.01,", q = -0.06",1,0,1,0
236,p = 0.01,", q = -0.05",1,0,1,0
237,p = 0.01,", q = -0.04",1,0,1,0
238,p = 0.01,", q = -0.03",1,0,1,0
254,p = 0.02,", q = -0.08",1,0,1,0
255,p = 0.02,", q = -0.07",1,0,1,0
256,p = 0.02,", q = -0.06",1,0,1,0
273,p = 0.03,", q = -0.10",1,0,1,0
274,p = 0.03,", q = -0.09",1,0,1,0
12,p = -0.10,", q = 0.02",1,0,0,0
13,p = -0.10,", q = 0.03",1,0,0,0
14,p = -0.10,", q = 0.04",1,0,0,0
15,p = -0.10,", q = 0.05",1,0,0,0
16,p = -0.10,", q = 0.06",1,0,0,0
17,p = -0.10,", q = 0.07",1,0,0,0
18,p = -0.10,", q = 0.08",1,0,0,0
32,p = -0.09,", q = 0.01",1,0,0,0
33,p = -0.09,", q = 0.02",1,0,0,0
34,p = -0.09,", q = 0.03",1,0,0,0
35,p = -0.09,", q = 0.04",1,0,0,0
36,p = -0.09,", q = 0.05",1,0,0,0
37,p = -0.09,", q = 0.06",1,0,0,0
38,p = -0.09,", q = 0.07",1,0,0,0
51,p = -0.08,", q = -0.01",1,0,0,0
52,p = -0.08,", q = 0.00",1,0,0,0
53,p = -0.08,", q = 0.01",1,0,0,0
54,p = -0.08,", q = 0.02",1,0,0,0
55,p = -0.08,", q = 0.03",1,0,0,0
56,p = -0.08,", q = 0.04",1,0,0,0
57,p = -0.08,", q = 0.05",1,0,0,0
58,p = -0.08,", q = 0.06",1,0,0,0
70,p = -0.07,", q = -0.03",1,0,0,0
71,p = -0.07,", q = -0.02",1,0,0,0
72,p = -0.07,", q = -0.01",1,0,0,0
73,p = -0.07,", q = 0.00",1,0,0,0
74,p = -0.07,", q = 0.01",1,0,0,0
75,p = -0.07,", q = 0.02",1,0,0,0
76,p = -0.07,", q = 0.03",1,0,0,0
77,p = -0.07,", q = 0.04",1,0,0,0
78,p = -0.07,", q = 0.05",1,0,0,0
90,p = -0.06,", q = -0.04",1,0,0,0
91,p = -0.06,", q = -0.03",1,0,0,0
92,p = -0.06,", q = -0.02",1,0,0,0
93,p = -0.06,", q = -0.01",1,0,0,0
94,p = -0.06,", q = 0.00",1,0,0,0
95,p = -0.06,", q = 0.01",1,0,0,0
96,p = -0.06,", q = 0.02",1,0,0,0
97,p = -0.06,", q = 0.03",1,0,0,0
109,p = -0.05,", q = -0.06",1,0,0,0
110,p = -0.05,", q = -0.05",1,0,0,0
111,p = -0.05,", q = -0.04",1,0,0,0
112,p = -0.05,", q = -0.03",1,0,0,0
113,p = -0.05,", q = -0.02",1,0,0,0
114,p = -0.05,", q = -0.01",1,0,0,0
115,p = -0.05,", q = 0.00",1,0,0,0
116,p = -0.05,", q = 0.01",1,0,0,0
117,p = -0.05,", q = 0.02",1,0,0,0
128,p = -0.04,", q = -0.08",1,0,0,0
129,p = -0.04,", q = -0.07",1,0,0,0
130,p = -0.04,", q = -0.06",1,0,0,0
131,p = -0.04,", q = -0.05",1,0,0,0
132,p = -0.04,", q = -0.04",1,0,0,0
133,p = -0.04,", q = -0.03",1,0,0,0
134,p = -0.04,", q = -0.02",1,0,0,0
135,p = -0.04,", q = -0.01",1,0,0,0
136,p = -0.04,", q = 0.00",1,0,0,0
147,p = -0.03,", q = -0.10",1,0,0,0
148,p = -0.03,", q = -0.09",1,0,0,0
149,p = -0.03,", q = -0.08",1,0,0,0
150,p = -0.03,", q = -0.07",1,0,0,0
151,p = -0.03,", q = -0.06",1,0,0,0
152,p = -0.03,", q = -0.05",1,0,0,0
153,p = -0.03,", q = -0.04",1,0,0,0
154,p = -0.03,", q = -0.03",1,0,0,0
155,p = -0.03,", q = -0.02",1,0,0,0
156,p = -0.03,", q = -0.01",1,0,0,0
168,p = -0.02,", q = -0.10",1,0,0,0
169,p = -0.02,", q = -0.09",1,0,0,0
170,p = -0.02,", q = -0.08",1,0,0,0
171,p = -0.02,", q = -0.07",1,0,0,0
172,p = -0.02,", q = -0.06",1,0,0,0
173,p = -0.02,", q = -0.05",1,0,0,0
174,p = -0.02,", q = -0.04",1,0,0,0
175,p = -0.02,", q = -0.03",1,0,0,0
189,p = -0.01,", q = -0.10",1,0,0,0
190,p = -0.01,", q = -0.09",1,0,0,0
191,p = -0.01,", q = -0.08",1,0,0,0
192,p = -0.01,", q = -0.07",1,0,0,0
193,p = -0.01,", q = -0.06",1,0,0,0
194,p = -0.01,", q = -0.05",1,0,0,0
195,p = -0.01,", q = -0.04",1,0,0,0
210,p = 0.00,", q = -0.10",1,0,0,0
211,p = 0.00,", q = -0.09",1,0,0,0
212,p = 0.00,", q = -0.08",1,0,0,0
213,p = 0.00,", q = -0.07",1,0,0,0
214,p = 0.00,", q = -0.06",1,0,0,0
231,p = 0.01,", q = -0.10",1,0,0,0
232,p = 0.01,", q = -0.09",1,0,0,0
233,p = 0.01,", q = -0.08",1,0,0,0
252,p = 0.02,", q = -0.10",1,0,0,0
253,p = 0.02,", q = -0.09",1,0,0,0
0,p = -0.10,", q = -0.10",0,0,0,0
1,p = -0.10,", q = -0.09",0,0,0,0
2,p = -0.10,", q = -0.08",0,0,0,0
3,p = -0.10,", q = -0.07",0,0,0,0
4,p = -0.10,", q = -0.06",0,0,0,0
5,p = -0.10,", q = -0.05",0,0,0,0
6,p = -0.10,", q = -0.04",0,0,0,0
7,p = -0.10,", q = -0.03",0,0,0,0
8,p = -0.10,", q = -0.02",0,0,0,0
9,p = -0.10,", q = -0.01",0,0,0,0
10,p = -0.10,", q = 0.00",0,0,0,0
11,p = -0.10,", q = 0.01",0,0,0,0
21,p = -0.09,", q = -0.10",0,0,0,0
22,p = -0.09,", q = -0.09",0,0,0,0
23,p = -0.09,", q = -0.08",0,0,0,0
24,p = -0.09,", q = -0.07",0,0,0,0
25,p = -0.09,", q = -0.06",0,0,0,0
26,p = -0.09,", q = -0.05",0,0,0,0
27,p = -0.09,", q = -0.04",0,0,0,0
28,p = -0.09,", q = -0.03",0,0,0,0
29,p = -0.09,", q = -0.02",0,0,0,0
30,p = -0.09,", q = -0.01",0,0,0,0
31,p = -0.09,", q = 0.00",0,0,0,0
42,p = -0.08,", q = -0.10",0,0,0,0
43,p = -0.08,", q = -0.09",0,0,0,0
44,p = -0.08,", q = -0.08",0,0,0,0
45,p = -0.08,", q = -0.07",0,0,0,0
46,p = -0.08,", q = -0.06",0,0,0,0
47,p = -0.08,", q = -0.05",0,0,0,0
48,p = -0.08,", q = -0.04",0,0,0,0
49,p = -0.08,", q = -0.03",0,0,0,0
50,p = -0.08,", q = -0.02",0,0,0,0
63,p = -0.07,", q = -0.10",0,0,0,0
64,p = -0.07,", q = -0.09",0,0,0,0
65,p = -0.07,", q = -0.08",0,0,0,0
66,p = -0.07,", q = -0.07",0,0,0,0
67,p = -0.07,", q = -0.06",0,0,0,0
68,p = -0.07,", q = -0.05",0,0,0,0
69,p = -0.07,", q = -0.04",0,0,0,0
84,p = -0.06,", q = -0.10",0,0,0,0
85,p = -0.06,", q = -0.09",0,0,0,0
86,p = -0.06,", q = -0.08",0,0,0,0
87,p = -0.06,", q = -0.07",0,0,0,0
88,p = -0.06,", q = -0.06",0,0,0,0
89,p = -0.06,", q = -0.05",0,0,0,0
105,p = -0.05,", q = -0.10",0,0,0,0
106,p = -0.05,", q = -0.09",0,0,0,0
107,p = -0.05,", q = -0.08",0,0,0,0
108,p = -0.05,", q = -0.07",0,0,0,0
126,p = -0.04,", q = -0.10",0,0,0,0
127,p = -0.04,", q = -0.09",0,0,0,0
